date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
15/06/24,Burlington,Ross,R,1,FB,10,0,0,ball,,,
15/06/24,Burlington,Ross,R,1,FB,2,1,0,bip,grounder,2,go1
15/06/24,Burlington,Ross,R,2,FB,10,0,0,ball,,,
15/06/24,Burlington,Ross,R,2,CH,7,1,0,bip,liner,6,lo9
15/06/24,Burlington,Ross,R,3,CB,13,0,0,ball,,,
15/06/24,Burlington,Ross,R,3,CH,11,0,0,ball,,,
15/06/24,Burlington,Ross,R,3,CH,10,0,0,ball,,,
15/06/24,Burlington,Ross,R,3,FB,3,1,1,strike,swinging,,
15/06/24,Burlington,Ross,R,3,CH,11,0,0,ball,walk,,
15/06/24,Burlington,Ross,R,4,CB,8,0,0,strike,looking,,
15/06/24,Burlington,Ross,R,4,CB,10,0,0,ball,,,
15/06/24,Burlington,Ross,R,4,FB,8,0,0,strike,looking,,
15/06/24,Burlington,Ross,R,4,CB,12,0,0,ball,,,
15/06/24,Burlington,Ross,R,4,FB,12,0,0,ball,,,
15/06/24,Burlington,Ross,R,4,FB,3,1,0,bip,liner,6,single
11/06/24,Clayton,Ross,R,1,FB,13,0,0,ball,,,
11/06/24,Clayton,Ross,R,1,FB,12,0,0,ball,,,
11/06/24,Clayton,Ross,R,1,FB,12,0,0,ball,,,
11/06/24,Clayton,Ross,R,1,FB,1,0,0,strike,looking,,
11/06/24,Clayton,Ross,R,1,FB,12,0,0,ball,walk,,
11/06/24,Clayton,Ross,R,2,CH,12,0,0,ball,,,
11/06/24,Clayton,Ross,R,2,FB,4,1,0,bip,fly,5,fo8
11/06/24,Clayton,Ross,L,3,FB,11,0,0,ball,,,
11/06/24,Clayton,Ross,L,3,FB,7,1,0,bip,grounder,3,roe
11/06/24,Clayton,Ross,R,4,FB,6,0,0,strike,looking,,
11/06/24,Clayton,Ross,R,4,FB,13,0,0,ball,,,
11/06/24,Clayton,Ross,R,4,CH,1,1,0,foul,,,
11/06/24,Clayton,Ross,R,4,CH,11,0,0,ball,,,
11/06/24,Clayton,Ross,R,4,FB,8,1,0,foul,,,
11/06/24,Clayton,Ross,R,4,SL,12,1,1,strike,swinging,,kpb
04/06/24,High Point,Ross,R,1,FB,3,1,0,bip,fly,6,fo9
04/06/24,High Point,Ross,R,2,FB,8,1,0,foul,,,
04/06/24,High Point,Ross,R,2,CH,7,1,0,bip,fly,6,fo9
04/06/24,High Point,Ross,R,3,FB,3,1,0,foul,,,
04/06/24,High Point,Ross,R,3,CH,13,0,0,ball,,,
04/06/24,High Point,Ross,R,3,CH,7,0,0,strike,looking,,
04/06/24,High Point,Ross,R,3,FB,11,1,0,foul,,,
04/06/24,High Point,Ross,R,3,SL,13,0,0,ball,,,
04/06/24,High Point,Ross,R,3,FB,12,0,0,ball,,,
04/06/24,High Point,Ross,R,3,CH,7,0,0,strike,looking,,kk
04/06/24,High Point,Ross,R,4,FB,11,0,0,ball,,,
04/06/24,High Point,Ross,R,4,CB,10,0,0,ball,,,
04/06/24,High Point,Ross,R,4,FB,6,1,0,bip,fly,5,fo8
04/06/24,High Point,Ross,L,5,FB,12,0,0,ball,,,
04/06/24,High Point,Ross,L,5,FB,12,0,0,ball,,,
04/06/24,High Point,Ross,L,5,FB,9,0,0,strike,looking,,
04/06/24,High Point,Ross,L,5,CB,8,1,0,foul,,,
04/06/24,High Point,Ross,L,5,CB,4,0,0,strike,looking,,kk
07/06/24,Reidsville,Ross,R,1,FB,2,1,0,foul,,,
07/06/24,Reidsville,Ross,R,1,FB,10,0,0,ball,,,
07/06/24,Reidsville,Ross,R,1,FB,10,0,0,ball,,,
07/06/24,Reidsville,Ross,R,1,FB,12,0,0,ball,,,
07/06/24,Reidsville,Ross,R,1,CH,3,1,0,foul,,,
07/06/24,Reidsville,Ross,R,1,CB,10,0,0,ball,walk,,
07/06/24,Reidsville,Ross,R,2,FB,13,0,0,ball,,,
07/06/24,Reidsville,Ross,R,2,FB,10,0,0,ball,,,
07/06/24,Reidsville,Ross,R,2,FB,12,0,0,ball,,,
07/06/24,Reidsville,Ross,R,2,FB,10,0,0,ball,walk,,
07/06/24,Reidsville,Ross,R,3,SL,13,0,0,ball,,,
07/06/24,Reidsville,Ross,R,3,FB,6,1,0,bip,grounder,1,go3
07/06/24,Reidsville,Ross,R,4,FB,12,0,0,ball,,,
07/06/24,Reidsville,Ross,R,4,SL,6,0,0,strike,looking,,
07/06/24,Reidsville,Ross,R,4,CB,12,0,0,ball,,,
07/06/24,Reidsville,Ross,R,4,FB,4,1,0,bip,grounder,2,go1
28/05/24,Carolina,Ross,R,1,FB,2,1,0,bip,grounder,1,go4
28/05/24,Carolina,Ross,R,2,CH,4,0,0,strike,looking,,
28/05/24,Carolina,Ross,R,2,FB,4,1,1,strike,swinging,,
28/05/24,Carolina,Ross,R,2,FB,9,1,0,bip,grounder,2,roe
28/05/24,Carolina,Ross,R,3,FB,7,1,0,bip,grounder,1,go3
28/05/24,Carolina,Ross,R,4,FB,11,0,0,ball,,,
28/05/24,Carolina,Ross,R,4,FB,2,1,0,bip,fly,5,single
31/05/24,Burlington,Ross,R,1,FB,2,1,0,foul,,,
31/05/24,Burlington,Ross,R,1,SL,11,1,0,foul,,,
31/05/24,Burlington,Ross,R,1,FB,2,1,1,strike,swinging,,k
31/05/24,Burlington,Ross,L,2,CB,11,0,0,ball,hbp,,
31/05/24,Burlington,Ross,R,3,CH,11,0,0,ball,,,
31/05/24,Burlington,Ross,R,3,FB,9,0,0,strike,looking,,
31/05/24,Burlington,Ross,R,3,CH,3,0,0,strike,looking,,
31/05/24,Burlington,Ross,R,3,FB,1,1,0,bip,grounder,2,gidp
31/05/24,Burlington,Ross,R,4,FB,2,1,0,bip,fly,5,fo8
18/06/24,Carolina,Ross,R,1,SL,4,0,0,strike,looking,,
18/06/24,Carolina,Ross,R,1,FB,10,0,0,ball,,,
18/06/24,Carolina,Ross,R,1,CB,5,1,0,bip,popup,2,po6
18/06/24,Carolina,Ross,L,2,CB,3,1,0,bip,fly,5,fo8
18/06/24,Carolina,Ross,R,3,FB,3,0,0,strike,looking,,
18/06/24,Carolina,Ross,R,3,FB,6,1,0,bip,grounder,5,single
18/06/24,Carolina,Ross,R,4,FB,10,0,0,ball,,,
18/06/24,Carolina,Ross,R,4,CH,10,0,0,ball,,,
18/06/24,Carolina,Ross,R,4,FB,2,1,0,foul,,,
18/06/24,Carolina,Ross,R,4,SL,12,0,0,ball,,,
18/06/24,Carolina,Ross,R,4,FB,7,1,0,bip,liner,6,double
18/06/24,Carolina,Ross,R,5,CH,10,0,0,ball,,,
18/06/24,Carolina,Ross,R,5,SL,12,0,0,ball,,,
18/06/24,Carolina,Ross,R,5,CB,12,0,0,ball,,,
18/06/24,Carolina,Ross,R,5,CH,11,0,0,ball,walk,,
21/06/24,Oak City,Ross,R,1,FB,4,1,0,foul,,,
21/06/24,Oak City,Ross,R,1,CH,7,1,1,strike,swinging,,
21/06/24,Oak City,Ross,R,1,FB,11,0,0,ball,hbp,,
21/06/24,Oak City,Ross,R,2,CB,12,0,0,ball,,,
21/06/24,Oak City,Ross,R,2,FB,10,0,0,ball,,,
21/06/24,Oak City,Ross,R,2,CH,1,0,0,strike,looking,,
21/06/24,Oak City,Ross,R,2,FB,13,0,0,ball,,,
21/06/24,Oak City,Ross,R,2,FB,6,0,0,strike,looking,,
21/06/24,Oak City,Ross,R,2,CH,13,1,1,strike,swinging,,k
21/06/24,Oak City,Ross,R,3,CB,12,0,0,ball,,,
21/06/24,Oak City,Ross,R,3,FB,10,1,0,foul,,,
21/06/24,Oak City,Ross,R,3,CB,12,0,0,ball,,,
21/06/24,Oak City,Ross,R,3,CH,12,0,0,ball,,,
21/06/24,Oak City,Ross,R,3,FB,3,1,0,bip,liner,6,double
21/06/24,Oak City,Ross,R,4,FB,5,1,1,strike,swinging,,
21/06/24,Oak City,Ross,R,4,CB,4,0,0,strike,looking,,
21/06/24,Oak City,Ross,R,4,FB,6,1,0,foul,,,
21/06/24,Oak City,Ross,R,4,FB,10,0,0,ball,,,
21/06/24,Oak City,Ross,R,4,CH,12,1,1,strike,swinging,,k
21/06/24,Oak City,Ross,R,5,SL,9,0,0,strike,looking,,
21/06/24,Oak City,Ross,R,5,FB,13,0,0,ball,,,
21/06/24,Oak City,Ross,R,5,SL,9,0,0,strike,looking,,
21/06/24,Oak City,Ross,R,5,FB,7,1,0,bip,grounder,2,go1
27/06/24,C. Pirates,Ross,R,1,FB,10,0,0,ball,,,
27/06/24,C. Pirates,Ross,R,1,FB,13,0,0,ball,,,
27/06/24,C. Pirates,Ross,R,1,CH,1,1,1,strike,swinging,,
27/06/24,C. Pirates,Ross,R,1,FB,12,0,0,ball,,,
27/06/24,C. Pirates,Ross,R,1,FB,6,0,0,strike,looking,,
27/06/24,C. Pirates,Ross,R,1,FB,13,0,0,ball,walk,,
27/06/24,C. Pirates,Ross,R,2,FB,12,0,0,ball,,,
27/06/24,C. Pirates,Ross,R,2,CH,11,0,0,ball,,,
27/06/24,C. Pirates,Ross,R,2,CH,4,1,0,bip,grounder,1,go3
27/06/24,C. Pirates,Ross,R,3,CB,7,0,0,strike,looking,,
27/06/24,C. Pirates,Ross,R,3,FB,13,0,0,ball,,,
27/06/24,C. Pirates,Ross,R,3,CH,1,1,1,strike,swinging,,
27/06/24,C. Pirates,Ross,R,3,FB,3,1,0,foul,,,
27/06/24,C. Pirates,Ross,R,3,CH,10,0,0,ball,,,
27/06/24,C. Pirates,Ross,R,3,CH,10,1,0,foul,,,
27/06/24,C. Pirates,Ross,R,3,CB,13,0,0,ball,,,
